key,es-ES,en-US
calculated,Calculando,Calculated,
waitMoment,Espera un momento,Wait a moment
statistics,Estadísticas,Statistics
currentPing,Ping actual,Current ping
currentRam,Ram actual,Current Ram
currentLanguage,Actualmente respondo los mensajes en español,I currently answer messages in English (US)
thanksForInvitingMe,Gracias por invitarme!,Thanks for inviting me!
thanksForTheOpportunity,Gracias ${interaction.user} agradezco la \n oportunidad de estar en tu servidor :heart:\nNos vemos en el!,Thanks ${interaction.user} I appreciate the \n chance to be on your server :heart:\nSee you there!
invitation,Invitación,Invitation
